Symbol	Full Name	Summary
TRIM37	tripartite motif containing 37 	This gene encodes a member of the tripartite motif (TRIM) family, whose members are involved in diverse cellular functions such as developmental patterning and oncogenesis. The TRIM motif includes zinc-binding domains, a RING finger region, a B-box motif and a coiled-coil domain. The RING finger and B-box domains chelate zinc and might be involved in protein-protein and/or protein-nucleic acid interactions. Mutations in this gene are associated with mulibrey (muscle-liver-brain-eye) nanism, an autosomal recessive disorder that involves several tissues of mesodermal origin. TRIM37 localizes in peroxisomal membranes, and has been implicated in human peroxisomal biogenesis disorders. [provided by RefSeq, Jul 2020]. COMPLETENESS: complete on the 3' end.
PACS1	phosphofurin acidic cluster sorting protein 1 	This gene encodes a protein with a putative role in the localization of trans-Golgi network (TGN) membrane proteins. Mouse and rat homologs have been identified and studies of the homologous rat protein indicate a role in directing TGN localization of furin by binding to the protease's phosphorylated cytosolic domain. In addition, the human protein plays a role in HIV-1 Nef-mediated downregulation of cell surface MHC-I molecules to the TGN, thereby enabling HIV-1 to escape immune surveillance. [provided by RefSeq, Jul 2008].
SPTBN4	spectrin beta, non-erythrocytic 4 	Spectrin is an actin crosslinking and molecular scaffold protein that links the plasma membrane to the actin cytoskeleton, and functions in the determination of cell shape, arrangement of transmembrane proteins, and organization of organelles. It is composed of two antiparallel dimers of alpha- and beta- subunits. This gene is one member of a family of beta-spectrin genes. The encoded protein localizes to the nuclear matrix, PML nuclear bodies, and cytoplasmic vesicles. A highly similar gene in the mouse is required for localization of specific membrane proteins in polarized regions of neurons. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].
AGTR2	angiotensin II receptor type 2 	The protein encoded by this gene belongs to the G-protein coupled receptor 1 family, and functions as a receptor for angiotensin II. It is an intergral membrane protein that is highly expressed in fetus and in neonates, but scantily in adult tissues, except brain, adrenal medulla, and atretic ovary. This receptor has been shown to mediate programmed cell death and this apoptotic function may play an important role in developmental biology and pathophysiology. Mutations in this gene are been associated with X-linked cognitive disability. Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV) and SARS-CoV-2 infection results in down-regulation of angiotensin converting enzyme-2 (ACE2) receptors, the effects of which, triggers serious inflammatory lesions in the tissues involved, primarily in the lungs. The inflammatory reaction appears to be mediated by angiotensin II derivatives, including the angiotensin AT2 receptor which has been found to be upregulated in bronchoalveolar lavage samples from Coronavirus disease 2019 (COVID19) patients. [provided by RefSeq, Jul 2020].
PNP	purine nucleoside phosphorylase 	This gene encodes an enzyme which reversibly catalyzes the phosphorolysis of purine nucleosides. The enzyme is trimeric, containing three identical subunits. Mutations which result in nucleoside phosphorylase deficiency result in defective T-cell (cell-mediated) immunity but can also affect B-cell immunity and antibody responses. Neurologic disorders may also be apparent in patients with immune defects. A known polymorphism at aa position 51 that does not affect enzyme activity has been described. A pseudogene has been identified on chromosome 2. [provided by RefSeq, Jul 2008].
SLC12A8	solute carrier family 12 member 8 	This gene is thought to be a candidate for psoriasis susceptibility. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined. [provided by RefSeq, Sep 2010].
UBQLN2	ubiquilin 2 	This gene encodes an ubiquitin-like protein (ubiquilin) that shares high degree of similarity with related products in yeast, rat and frog. Ubiquilins contain a N-terminal ubiquitin-like domain and a C-terminal ubiquitin-associated domain. They physically associate with both proteasomes and ubiquitin ligases; and thus, are thought to functionally link the ubiquitination machinery to the proteasome to affect in vivo protein degradation. This ubiquilin has also been shown to bind the ATPase domain of the Hsp70-like Stch protein. [provided by RefSeq, Oct 2009].
RFX4	regulatory factor X4 	This gene is a member of the regulatory factor X gene family, which encodes transcription factors that contain a highly-conserved winged helix DNA binding domain. The protein encoded by this gene is structurally related to regulatory factors X1, X2, X3, and X5. It has been shown to interact with itself as well as with regulatory factors X2 and X3, but it does not interact with regulatory factor X1. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2011].
NR2E3	nuclear receptor subfamily 2 group E member 3 	This protein is part of a large family of nuclear receptor transcription factors involved in signaling pathways. Nuclear receptors have been shown to regulate pathways involved in embryonic development, as well as in maintenance of proper cell function in adults. Members of this family are characterized by discrete domains that function in DNA and ligand binding. This gene encodes a retinal nuclear receptor that is a ligand-dependent transcription factor. Defects in this gene are a cause of enhanced S cone syndrome. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008].
CD79B	CD79b molecule 	The B lymphocyte antigen receptor is a multimeric complex that includes the antigen-specific component, surface immunoglobulin (Ig). Surface Ig non-covalently associates with two other proteins, Ig-alpha and Ig-beta, which are necessary for expression and function of the B-cell antigen receptor. This gene encodes the Ig-beta protein of the B-cell antigen component. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008].
SNRPE	small nuclear ribonucleoprotein polypeptide E 	The protein encoded by this gene is a core component of U small nuclear ribonucleoproteins, which are key components of the pre-mRNA processing spliceosome. The encoded protein plays a role in the 3' end processing of histone transcripts. This protein is one of the targets in the autoimmune disease systemic lupus erythematosus, and mutations in this gene have been associated with hypotrichosis. Several pseudogenes of this gene have been identified. [provided by RefSeq, Jun 2016].
